ticker,etf-id,etf_name,file_name
hewu,325390,ishares-msci-china-multisector-tech-etf,HEWU_holdings
tchi,307350,ishares-future-cloud-5g-and-tech-etf,TCHI_holdings
idat,330840,ishares-future-metaverse-tech-and-communications-etf,IDAT_holdings
ivrs,329650,ishares-msci-water-management-multisector-etf,IVRS_holdings
iwtr,332280,ishares-copper-and-metals-mining-etf,IWTR_holdings
icop,329137,ishares-neuroscience-and-healthcare-etf,ICOP_holdings
ibrn,330188,ishares-environmental-infrastructure-and-industrials-etf,IBRN_holdings
efra,329128,blackrock-future-financial-and-technology-etf,EFRA_holdings
bpay,320098,blackrock-future-climate-and-sustainable-economy-etf,BPAY_holdings
beco,332281,ishares-lithium-miners-and-producers-etf,BECO_holdings
ilit,331244,ishares-breakthrough-environmental-solutions-etf,ILIT_holdings
etec,239677,ishares-msci-russia-capped-etf,ETEC_holdings
