LongShortCouponFirstIntPmt,PrimaryDealerTendered,PrimaryDealerAccepted,DirectBidderTendered,DirectBidderAccepted,IndirectBidderTendered,IndirectBidderAccepted,CompetitiveTendered,CompetitiveAccepted,NonCompetitiveAccepted,SOMATendered,SOMAAccepted,FIMATendered,FIMAAccepted,TotalTendered,TotalAccepted,BidToCoverRatio,ReleaseTime,AmountAcceptedBelowLowRate,HighAllocationPercentage,LowDiscountRate,HighDiscountRate,MedianDiscountRate,LowYield,HighYield,MedianYield,LowPrice,HighPrice ,MedianPrice,TIINConversionFactor,AccruedInterest,StandardInterestPayment,InterestRate,OriginalCUSIP,UnadjustedPrice,UnadjustedAccruedInterest,TreasuryDirectAccepted,InvestmentRate,AdjustedPrice,AdjustedAccruedInterest,IndexRatio,ResultsPDFName  ,CUSIP    ,Date    ,LowDiscountMargin,HighDiscountMargin,MedianDiscountMargin,Spread,FRNIndexDeterminationDate,FRNIndexDeterminationRate,HighPrice,ResultsPDFName,CUSIP,Date,TreasuryRetailAccepted
                          ,54640000000,16130900000,850000000,575000000,11676202000,5572894500,67166202000,22278794500,1725176900,0,0,996200000,996200000,69887578900,25000171400,2.8,13:01      ,5,14.09,1.75           ,1.87            ,1.83              ,        ,         ,           ,        ,99.527306,           ,                    ,               ,                       ,            ,             ,               ,                         ,1243595900.0,1.905         ,             ,                       ,          ,R_20080527_2.pdf,912795G39,20080527.0,                 ,                  ,                    ,      ,                         ,,,,,,
                          ,55289500000,19119500000,665000000,565000000,9362900000,6521950000,65317400000,26206450000,328660800,0,0,464900000,464900000,66110960800,27000010800,2.45,11:31      ,5,83.62,1.85           ,1.965           ,1.9               ,        ,         ,           ,        ,99.847167,           ,                    ,               ,                       ,            ,             ,               ,                         ,134785800.0,1.995         ,             ,                       ,          ,R_20080528_1.pdf,912795F22,20080528.0,                 ,                  ,                    ,      ,                         ,,,,,,
                          ,60369000000,22386840000,395000000,270000000,6766000000,6551000000,67530000000,29207840000,767183300,2405496800,2405496800,25000000,25000000,70727680100,32405520100,2.28,13:01      ,5,21.12,               ,                ,                  ,2.55    ,2.64     ,2.59       ,        ,99.970857,           ,                    ,0.14344        ,13.125                 ,2.625       ,             ,               ,                         ,553618300.0,              ,             ,                       ,          ,R_20080528_2.pdf,912828JA9,20080528.0,                 ,                  ,                    ,      ,                         ,,,,,,
                          ,51100000000,13730200000,486000000,86000000,7850000000,5183000000,59436000000,18999200000,1000000,0,0,0,0,59437000000,19000200000,3.13,11:31      ,5,75.4,2.05           ,2.15            ,2.1               ,        ,         ,           ,        ,99.898472,           ,                    ,               ,                       ,            ,             ,               ,                         ,0.0,2.182         ,             ,                       ,          ,R_20080529_1.pdf,912795R29,20080529.0,                 ,                  ,                    ,      ,                         ,,,,,,
                          ,31495000000,15604972000,173010000,148010000,3104000000,3104000000,34772010000,18856982000,118078600,1523481200,1523481200,25000000,25000000,36438569800,20523541800,1.84,13:01      ,5,86.36,               ,                ,                  ,3.39    ,3.52     ,3.465      ,        ,99.908798,           ,                    ,0.19126        ,17.5                   ,3.5         ,             ,               ,                         ,75720600.0,              ,             ,                       ,          ,R_20080529_2.pdf,912828JB7,20080529.0,                 ,                  ,                    ,      ,                         ,,,,,,
                          ,64840000000,16203600000,430000000,280000000,6945150000,5735150000,72215150000,22218750000,1681562600,0,0,100000000,100000000,73996712600,24000312600,3.08,13:01      ,5,46.88,1.77           ,1.82            ,1.8               ,        ,         ,           ,        ,99.539944,           ,                    ,               ,                       ,            ,             ,               ,                         ,1257894600.0,1.854         ,             ,                       ,          ,R_20080602_1.pdf,912795G47,20080602.0,                 ,                  ,                    ,      ,                         ,,,,,,
                          ,53610000000,16754550000,515000000,115000000,8888000000,5660885000,63013000000,22530435000,1219761500,0,0,250000000,250000000,64482761500,24000196500,2.69,13:01      ,5,94.95,1.84           ,1.95            ,1.905             ,        ,         ,           ,        ,99.014167,           ,                    ,               ,                       ,            ,             ,               ,                         ,921000000.0,1.997         ,             ,                       ,          ,R_20080602_2.pdf,912795H95,20080602.0,                 ,                  ,                    ,      ,                         ,,,,,,
                          ,44860000000,14224850000,450000000,120000000,7415480000,1576835000,52725480000,15921685000,76321100,0,0,2000000,2000000,52803801100,16000006100,3.3,13:01      ,5,13.55,1.9            ,2.105           ,2.07              ,        ,         ,           ,        ,97.871611,           ,                    ,               ,                       ,            ,             ,               ,                         ,19194100.0,2.169         ,             ,                       ,          ,R_20080603_1.pdf,912795Q79,20080603.0,                 ,                  ,                    ,      ,                         ,,,,,,
                          ,52180000000,15769800000,535000000,485000000,9416000000,6360080000,62131000000,22614880000,375197000,0,0,10000000,10000000,62516197000,23000077000,2.72,13:01      ,5,74.64,1.75           ,1.88            ,1.84              ,        ,         ,           ,        ,99.853778,           ,                    ,               ,                       ,            ,             ,               ,                         ,147258000.0,1.909         ,             ,                       ,          ,R_20080603_2.pdf,912795F30,20080603.0,                 ,                  ,                    ,      ,                         ,,,,,,
                          ,55736000000,17130935000,255000000,235000000,5934575000,4754862500,61925575000,22120797500,1659237400,0,0,220000000,220000000,63804812400,24000034900,2.66,13:01      ,5,41.41,1.75           ,1.85            ,1.8               ,        ,         ,           ,        ,99.532361,           ,                    ,               ,                       ,            ,             ,               ,                         ,1267890400.0,1.885         ,             ,                       ,          ,R_20080609_1.pdf,912795G54,20080609.0,                 ,                  ,                    ,      ,                         ,,,,,,
                          ,49680000000,14898750000,105000000,105000000,7773808000,7573808000,57558808000,22577558000,1222545100,0,0,200000000,200000000,58981353100,24000103100,2.46,13:01      ,5,98.75,1.94           ,2.05            ,2.01              ,        ,         ,           ,        ,98.963611,           ,                    ,               ,                       ,            ,             ,               ,                         ,944388100.0,2.1           ,             ,                       ,          ,R_20080609_2.pdf,912795J28,20080609.0,                 ,                  ,                    ,      ,                         ,,,,,,
                          ,48900000000,21499640000,0,0,3700000000,500000000,52600000000,21999640000,750000,0,0,0,0,52600750000,22000390000,2.39,11:31      ,5,88.9,1.9            ,2.19            ,2.15              ,        ,         ,           ,        ,99.969583,           ,                    ,               ,                       ,            ,             ,               ,                         ,0.0,2.221         ,             ,                       ,          ,R_20080610_1.pdf,912795R29,20080610.0,                 ,                  ,                    ,      ,                         ,,,,,,
                          ,49525500000,13769090000,395000000,195000000,11071279000,8503429000,60991779000,22467519000,432619100,0,0,100000000,100000000,61524398100,23000138100,2.67,13:01      ,5,26.43,1.75           ,1.99            ,1.91              ,        ,         ,           ,        ,99.845222,           ,                    ,               ,                       ,            ,             ,               ,                         ,219812700.0,2.021         ,             ,                       ,          ,R_20080610_2.pdf,912795F48,20080610.0,                 ,                  ,                    ,      ,                         ,,,,,,
                          ,23715000000,9397222500,190000000,50000000,1677500000,1522821000,25582500000,10970043500,29973400,0,0,0,0,25612473400,11000016900,2.33,13:01      ,5,3.21,               ,                ,                  ,4.149   ,4.225    ,4.179      ,        ,97.183235,           ,                    ,3.36957        ,19.375                 ,3.875       ,             ,               ,                         ,13953400.0,              ,             ,                       ,          ,R_20080612_1.pdf,912828HZ6,20080612.0,                 ,                  ,                    ,      ,                         ,,,,,,
                          ,40850000000,16176365000,405000000,405000000,6068285000,6068285000,47323285000,22649650000,1150410700,0,0,200000000,200000000,48673695700,24000060700,2.03,13:01      ,5,68.57,2.23           ,2.35            ,2.28              ,        ,         ,           ,        ,98.811944,           ,                    ,               ,                       ,            ,             ,               ,                         ,790021000.0,2.411         ,             ,                       ,          ,R_20080616_1.pdf,912795J36,20080616.0,                 ,                  ,                    ,      ,                         ,,,,,,
                          ,44725000000,14404375000,270000000,270000000,7644568000,6584568000,52639568000,21258943000,1741251000,0,0,0,0,54380819000,23000194000,2.36,13:01      ,5,8.94,1.94           ,2.05            ,1.97              ,        ,         ,           ,        ,99.481806,           ,                    ,               ,                       ,            ,             ,               ,                         ,1293556800.0,2.089         ,             ,                       ,          ,R_20080616_2.pdf,912795G62,20080616.0,                 ,                  ,                    ,      ,                         ,,,,,,
                          ,52585000000,14893265000,400000000,400000000,8928818000,4338818000,61913818000,19632083000,367942900,0,0,0,0,62281760900,20000025900,3.11,13:01      ,5,0.57,1.75           ,1.84            ,1.8               ,        ,         ,           ,        ,99.856889,           ,                    ,               ,                       ,            ,             ,               ,                         ,149920900.0,1.868         ,             ,                       ,          ,R_20080617_1.pdf,912795F55,20080617.0,                 ,                  ,                    ,      ,                         ,,,,,,
                          ,44751000000,13679680000,1195000000,1175000000,9077200000,5832200000,55023200000,20686880000,1315181000,0,0,998000000,998000000,57336381000,23000061000,2.49,13:01      ,5,50.28,2.18           ,2.255           ,2.24              ,        ,         ,           ,        ,98.853708,           ,                    ,               ,                       ,            ,             ,               ,                         ,935909000.0,2.313         ,             ,                       ,          ,R_20080623_1.pdf,912795J44,20080623.0,                 ,                  ,                    ,      ,                         ,,,,,,
                          ,46715000000,11930755000,280000000,250000000,8177661000,7157661000,55172661000,19338416000,1662287800,0,0,999300000,999300000,57834248800,22000003800,2.63,13:01      ,5,31.51,1.745          ,1.855           ,1.8               ,        ,         ,           ,        ,99.531097,           ,                    ,               ,                       ,            ,             ,               ,                         ,1252416100.0,1.89          ,             ,                       ,          ,R_20080623_2.pdf,912795G70,20080623.0,                 ,                  ,                    ,      ,                         ,,,,,,
                          ,44385000000,10991700000,465000000,315000000,10698992000,7977392000,55548992000,19284092000,346431300,0,0,369600000,369600000,56265023300,20000123300,2.81,11:31      ,5,21.34,1.4            ,1.58            ,1.52              ,        ,         ,           ,        ,99.877111,           ,                    ,               ,                       ,            ,             ,               ,                         ,156143300.0,1.604         ,             ,                       ,          ,R_20080624_1.pdf,912795F63,20080624.0,                 ,                  ,                    ,      ,                         ,,,,,,
                          ,64325000000,20821025000,765000000,125000000,13473350000,8330750000,78563350000,29276775000,696276200,3216480000,3216480000,27000000,27000000,82503106200,33216531200,2.64,13:01      ,5,4.05,               ,                ,                  ,2.85    ,2.922    ,2.899      ,        ,99.909336,           ,                    ,               ,14.375                 ,2.875       ,             ,               ,                         ,516575200.0,              ,             ,                       ,          ,R_20080624_2.pdf,912828JC5,20080624.0,                 ,                  ,                    ,      ,                         ,,,,,,
                          ,41973000000,15608313700,230000000,58347000,7271000000,4217410000,49474000000,19884070700,91006000,2144320000,2144320000,25000000,25000000,51734326000,22144396700,2.48,13:01      ,5,83.47,               ,                ,                  ,3.35    ,3.44     ,3.409      ,        ,99.703743,           ,                    ,               ,16.875                 ,3.375       ,             ,               ,                         ,52757000.0,              ,             ,                       ,          ,R_20080626_1.pdf,912828JD3,20080626.0,                 ,                  ,                    ,      ,                         ,,,,,,
