Accrual Date,Asset Class,Currency,Exchange,FX Rate,Location,Market Currency,Market Value,Name,Notional Value,Price,Sector,Shares,Ticker,Type,Weight (%),as_of_date,etf_name,etf_ticker
-,Equity,USD,NASDAQ,1.0,United States,USD,"1,170,520,732.92",QUALCOMM INC,"1,170,520,732.92",115.94,Information Technology,"10,095,918.00",QCOM,,0.35,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,168,969,444.50",S&P GLOBAL INC,"1,168,969,444.50",393.25,Financials,"2,972,586.00",SPGI,,0.35,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,166,416,864.68",NIKE INC CLASS B,"1,166,416,864.68",104.46,Consumer Discretionary,"11,166,158.00",NKE,,0.35,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,145,125,203.82",CATERPILLAR INC,"1,145,125,203.82",245.18,Industrials,"4,670,549.00",CAT,,0.34,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"1,139,532,935.18",INTUIT INC,"1,139,532,935.18",448.19,Information Technology,"2,542,522.00",INTU,,0.34,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,132,069,523.94",CONOCOPHILLIPS,"1,132,069,523.94",103.23,Energy,"10,966,478.00",COP,,0.34,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,120,686,169.22",UNION PACIFIC CORP,"1,120,686,169.22",202.82,Industrials,"5,525,521.00",UNP,,0.34,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,087,007,621.70",BOEING,"1,087,007,621.70",212.10,Industrials,"5,124,977.00",BA,,0.33,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,086,938,623.68",INTERNATIONAL BUSINESS MACHINES CO,"1,086,938,623.68",132.08,Information Technology,"8,229,396.00",IBM,,0.33,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"1,068,981,145.28",APPLIED MATERIAL INC,"1,068,981,145.28",139.57,Information Technology,"7,659,104.00",AMAT,,0.32,2023-07-07,iShares Core S&P 500 ETF,ivv
