Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date,etf_name,etf_ticker,as_of_date
VALU,VALUE LINE INC,Financials,Equity,"315,961.80",0.0,"315,961.80","6,839.00",46.20,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
ITIC,INVESTORS TITLE,Financials,Equity,"309,288.00",0.0,"309,288.00","2,104.00",147.00,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
LBPH,LONGBOARD PHARMACEUTICALS INC,Health Care,Equity,"307,117.98",0.0,"307,117.98","43,749.00",7.02,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
CUTR,CUTERA INC,Health Care,Equity,"303,980.40",0.0,"303,980.40","19,868.00",15.30,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
BSVN,BANK7 CORP,Financials,Equity,"301,156.08",0.0,"301,156.08","11,894.00",25.32,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
SES,SES AI CORP CLASS A,Industrials,Equity,"295,558.20",0.0,"295,558.20","120,636.00",2.45,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
FARO,FARO TECHNOLOGIES INC,Information Technology,Equity,"296,274.52",0.0,"296,274.52","18,266.00",16.22,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
SOI,SOLARIS OILFIELD INFRASTRUCTURE IN,Energy,Equity,"291,669.52",0.0,"291,669.52","34,558.00",8.44,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
MVBF,MVB FINANCIAL CORP,Financials,Equity,"292,278.36",0.0,"292,278.36","13,607.00",21.48,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
TDUP,THREDUP INC CLASS A,Consumer Discretionary,Equity,"284,677.50",0.0,"284,677.50","113,871.00",2.50,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
CNSL,CONSOLIDATED COMMUNICATIONS HOLDIN,Communication,Equity,"282,475.64",0.0,"282,475.64","72,803.00",3.88,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
SPRY,ARS PHARMACEUTICALS INC,Health Care,Equity,"281,832.21",0.0,"281,832.21","41,877.00",6.73,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
SELB,SELECTA BIOSCIENCES INC,Health Care,Equity,"277,122.72",0.0,"277,122.72","247,431.00",1.12,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
CURV,TORRID HOLDINGS INC,Consumer Discretionary,Equity,"272,013.94",0.0,"272,013.94","96,118.00",2.83,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
ORGO,ORGANOGENESIS HOLDINGS INC CLASS A,Health Care,Equity,"270,405.30",0.0,"270,405.30","80,718.00",3.35,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
SHCR,SHARECARE INC CLASS A,Health Care,Equity,"270,201.78",0.0,"270,201.78","156,186.00",1.73,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
ADRO,ADURO BIOTECH CVR,Health Care,Equity,"268,350.61",0.0,"268,350.61","105,692.00",2.54,United States,NO MARKET (E.G. UNLISTED),USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
BLBD,BLUE BIRD CORP,Industrials,Equity,"265,730.22",0.0,"265,730.22","11,826.00",22.47,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
VRAY,VIEWRAY INC,Health Care,Equity,"263,183.72",0.0,"263,183.72","698,656.00",0.38,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
CDXS,CODEXIS INC,Health Care,Equity,"258,530.56",0.0,"258,530.56","95,048.00",2.72,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
MLR,MILLER INDUSTRIES INC,Industrials,Equity,"257,772.20",0.0,"257,772.20","7,292.00",35.35,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
STER,STERLING CHECK CORP,Industrials,Equity,"254,870.20",0.0,"254,870.20","20,891.00",12.20,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
ATLC,ATLANTICUS HOLDINGS CORP,Financials,Equity,"252,356.20",0.0,"252,356.20","5,935.00",42.52,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
MXCT,MAXCYTE INC,Health Care,Equity,"249,443.34",0.0,"249,443.34","55,929.00",4.46,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
BOC,BOSTON OMAHA CORP CLASS A,Communication,Equity,"248,508.00",0.0,"248,508.00","12,744.00",19.50,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
